,Type,File ID,Start Time,Duration,STypeNew
0,Elan,alma-a1-nsb,3601.35,1.1,KCHI
1,Elan,alma-a1-nsb,3614.36,8.88,KCHI
2,Elan,alma-a1-nsb,3630.97,1.32,KCHI
3,Elan,alma-a1-nsb,3639.05,8.19,KCHI
4,Elan,alma-a1-nsb,3670.23,4.62,KCHI
5,Elan,alma-a1-nsb,3681.45,1.8,KCHI
6,Elan,alma-a1-nsb,3687.39,4.21,KCHI
7,Elan,alma-a1-nsb,3693.49,0.67,KCHI
8,Elan,alma-a1-nsb,3696.44,1.07,KCHI
9,Elan,alma-a1-nsb,3699.54,2.13,KCHI
10,Elan,alma-a1-nsb,3703.7,5.25,KCHI
11,Elan,alma-a1-nsb,3714.52,1.66,KCHI
12,Elan,alma-a1-nsb,3717.86,0.4,KCHI
13,Elan,alma-a1-nsb,3738.17,0.31,KCHI
14,Elan,alma-a1-nsb,3744.88,0.52,KCHI
15,Elan,alma-a1-nsb,3791.79,0.49,KCHI
16,Elan,alma-a1-nsb,3803.9,1.38,KCHI
17,Elan,alma-a1-nsb,3811.36,0.43,KCHI
18,Elan,alma-a1-nsb,3813.02,0.31,KCHI
19,Elan,alma-a1-nsb,3815.9,0.54,KCHI
20,Elan,alma-a1-nsb,3819.56,0.42,KCHI
21,Elan,alma-a1-nsb,3826.59,0.6,KCHI
22,Elan,alma-a1-nsb,3830.22,0.62,KCHI
23,Elan,alma-a1-nsb,3839.29,1.1,KCHI
24,Elan,alma-a1-nsb,3846.82,1.9,KCHI
25,Elan,alma-a1-nsb,3857.0,1.75,KCHI
26,Elan,alma-a1-nsb,3864.51,0.41,KCHI
27,Elan,alma-a1-nsb,3875.2,6.5,KCHI
28,Elan,alma-a1-nsb,3882.93,0.36,KCHI
29,Elan,alma-a1-nsb,3885.39,0.31,KCHI
30,Elan,alma-a1-nsb,3887.08,0.3,KCHI
31,Elan,alma-a1-nsb,3896.1,7.95,KCHI
32,Elan,alma-a1-nsb,3910.38,4.46,KCHI
33,Elan,alma-a1-nsb,3919.5,2.28,KCHI
34,Elan,alma-a1-nsb,3925.6,0.64,KCHI
