169,labname,homebank_id,aclew_id,child_level_id,sharing_environment,lab_internal_subject_id,age_mo_round,age,age_exact,child_sex,language,lang_percent,corpus_narrow,corpus,std_mat_ed,mat_ed,fat_ed,std_length_of_recording,length_of_recording,household_size,premature,region,ses_details,,,
1,CAS,CM50,643,CM50,,M-F40-C01,2,01m;25d,Y,M,Tseltal,100,Casillas,Casillas,bhs,none,secondary,576,576,7,U,"Tenejapa, Chiapas, MX",NA,,,
2,CAS,CM07,7176,CM07,,M-F05-C01,4,03m;18d,Y,M,Tseltal,100,Casillas,Casillas,hs,preparatory,preparatory,566,566,8,U,"Tenejapa, Chiapas, MX",NA,,,
3,CAS,CM11,8179,CM11,,M-F08-C01,6,05m;29d,Y,F,Tseltal,100,Casillas,Casillas,bhs,secondary,preparatory,578,578,14,U,"Tenejapa, Chiapas, MX",NA,,,
4,CAS,CM23,2109,CM23,,M-F17-C01,7,07m;15d,Y,F,Tseltal,100,Casillas,Casillas,bhs,primary,secondary,576,576,8,U,"Tenejapa, Chiapas, MX",NA,,,
5,CAS,CM38,8787,CM38,,M-F29-C01,11,10m;21d,Y,M,Tseltal,100,Casillas,Casillas,bhs,secondary,secondary,563,563,4,U,"Tenejapa, Chiapas, MX",NA,,,
6,CAS,CM04,7326,CM04,,M-F03-C01,14,14m;10d,Y,M,Tseltal,100,Casillas,Casillas,bhs,none,primary,492,492,8,U,"Tenejapa, Chiapas, MX",NA,,,
7,CAS,CM17,7220,CM17,,M-F13-C01,22,22m;03d,Y,F,Tseltal,100,Casillas,Casillas,hs,preparatory,preparatory,555,555,8,U,"Tenejapa, Chiapas, MX",NA,,,
8,CAS,CM25,6216,CM25,,M-F19-C01,27,26m;25d,Y,F,Tseltal,100,Casillas,Casillas,bhs,primary,primary,531,531,4,U,"Tenejapa, Chiapas, MX",NA,,,
9,CAS,CM47,2625,CM47,,M-F37-C02,32,32m;05d,Y,F,Tseltal,100,Casillas,Casillas,bhs,secondary,secondary,558,558,4,U,"Tenejapa, Chiapas, MX",NA,,,
10,CAS,CM55,3026,CM55,,M-F43-C02,36,36m;02d,Y,M,Tseltal,100,Casillas,Casillas,bhs,primary,primary,550,550,5,U,"Tenejapa, Chiapas, MX",NA,,,
11,SOD,101,9733,CW167,N,C167,12,11m;25d,Y,M,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,733,733,2,N,"Winnipeg, Manitoba, Canada",NA,,,
12,SOD,101,4787,CW167,N,C167,12,12m;02d,Y,M,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,520,520,2,N,"Winnipeg, Manitoba, Canada",NA,,,
13,SOD,101,2135,CW167,N,C167,12,12m;11d,Y,M,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,292,292,2,N,"Winnipeg, Manitoba, Canada",NA,,,
14,SOD,101,9858,CW167,N,C167,13,12m;19d,Y,M,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,448,448,2,N,"Winnipeg, Manitoba, Canada",NA,,,
15,SOD,102,1902,CW168,N,C168,8,07m;23d,Y,F,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,825,825,4,N,"Winnipeg, Manitoba, Canada",NA,,,
16,SOD,102,8445,CW168,N,C168,8,08m;08d,Y,F,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,886,886,4,N,"Winnipeg, Manitoba, Canada",NA,,,
17,SOD,102,5426,CW168,N,C168,8,08m;11d,Y,F,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,769,769,4,N,"Winnipeg, Manitoba, Canada",NA,,,
18,SOD,102,9302,CW168,N,C168,9,08m;22d,Y,F,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,824,824,4,N,"Winnipeg, Manitoba, Canada",NA,,,
19,SOD,103,9854,CW173,N,C173,17,17m;02d,Y,M,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,636,636,4,N,"Winnipeg, Manitoba, Canada",NA,,,
20,SOD,103,3942,CW173,N,C173,19,19m;05d,Y,M,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,426,426,4,N,"Winnipeg, Manitoba, Canada",NA,,,
21,SOD,103,4852,CW173,N,C173,19,19m;12d,Y,M,English,100,McDivitt,Winnipeg,bhs,bhs,unknown,704,704,4,N,"Winnipeg, Manitoba, Canada",NA,,,
