,Type,File ID,Start Time,Duration,STypeNew
0,Elan,cielor-a1-nsb,0.0,4735.42,KCHI
1,Elan,cielor-a1-nsb,4735.42,13.85,KCHI
2,Elan,cielor-a1-nsb,4749.27,22.71,KCHI
3,Elan,cielor-a1-nsb,4771.98,4.0,KCHI
4,Elan,cielor-a1-nsb,4775.98,30.87,KCHI
5,Elan,cielor-a1-nsb,4806.85,62.64,KCHI
6,Elan,cielor-a1-nsb,4869.49,6.81,KCHI
7,Elan,cielor-a1-nsb,4876.29,1.88,KCHI
8,Elan,cielor-a1-nsb,4878.17,81.77,KCHI
9,Elan,cielor-a1-nsb,4959.94,78.97,KCHI
10,Elan,cielor-a1-nsb,5038.91,19.64,KCHI
11,Elan,cielor-a1-nsb,5058.55,3.51,KCHI
12,Elan,cielor-a1-nsb,5062.06,4.34,KCHI
13,Elan,cielor-a1-nsb,5066.4,3.94,KCHI
14,Elan,cielor-a1-nsb,5070.34,14.03,KCHI
15,Elan,cielor-a1-nsb,5084.37,4.05,KCHI
16,Elan,cielor-a1-nsb,5088.41,36.0,KCHI
17,Elan,cielor-a1-nsb,5124.41,2.83,KCHI
18,Elan,cielor-a1-nsb,5127.25,38.51,KCHI
19,Elan,cielor-a1-nsb,5165.76,19.33,KCHI
20,Elan,cielor-a1-nsb,5185.09,1.17,KCHI
21,Elan,cielor-a1-nsb,5186.26,2.03,KCHI
22,Elan,cielor-a1-nsb,5188.28,3.24,KCHI
23,Elan,cielor-a1-nsb,5191.52,70.5,KCHI
24,Elan,cielor-a1-nsb,5262.02,3.05,KCHI
25,Elan,cielor-a1-nsb,5266.16,1.57,KCHI
26,Elan,cielor-a1-nsb,5269.36,2.17,KCHI
27,Elan,cielor-a1-nsb,5272.5,1.47,KCHI
28,Elan,cielor-a1-nsb,5280.15,1.63,KCHI
29,Elan,cielor-a1-nsb,5281.78,1.89,KCHI
30,Elan,cielor-a1-nsb,5283.67,3.35,KCHI
31,Elan,cielor-a1-nsb,5292.21,2.63,KCHI
32,Elan,cielor-a1-nsb,5294.84,3.52,KCHI
33,Elan,cielor-a1-nsb,5302.0,2.57,KCHI
34,Elan,cielor-a1-nsb,5304.58,5.32,KCHI
35,Elan,cielor-a1-nsb,5309.9,1.02,KCHI
36,Elan,cielor-a1-nsb,5311.12,0.7,KCHI
37,Elan,cielor-a1-nsb,5328.66,1.94,KCHI
38,Elan,cielor-a1-nsb,5333.4,2.91,KCHI
39,Elan,cielor-a1-nsb,5340.9,2.74,KCHI
40,Elan,cielor-a1-nsb,5345.19,2.2,KCHI
41,Elan,cielor-a1-nsb,5362.12,2.14,KCHI
42,Elan,cielor-a1-nsb,5364.26,2.49,KCHI
43,Elan,cielor-a1-nsb,5367.64,0.76,KCHI
44,Elan,cielor-a1-nsb,5370.15,3.48,KCHI
45,Elan,cielor-a1-nsb,5375.39,0.44,KCHI
46,Elan,cielor-a1-nsb,5378.51,3.48,KCHI
47,Elan,cielor-a1-nsb,5385.05,0.91,KCHI
