,Type,File ID,Start Time,Duration,STypeNew
0,Elan,donatow-a1-nsm,0.0,5209.76,KCHI
1,Elan,donatow-a1-nsm,5209.76,8.12,KCHI
2,Elan,donatow-a1-nsm,5217.88,0.97,KCHI
3,Elan,donatow-a1-nsm,5219.52,1.17,KCHI
4,Elan,donatow-a1-nsm,5227.86,2.21,KCHI
5,Elan,donatow-a1-nsm,5238.26,3.78,KCHI
6,Elan,donatow-a1-nsm,5249.31,1.3,KCHI
7,Elan,donatow-a1-nsm,5250.61,0.73,KCHI
8,Elan,donatow-a1-nsm,5251.7,3.28,KCHI
9,Elan,donatow-a1-nsm,5254.98,0.94,KCHI
10,Elan,donatow-a1-nsm,5255.92,4.93,KCHI
11,Elan,donatow-a1-nsm,5260.85,1.18,KCHI
12,Elan,donatow-a1-nsm,5262.58,1.36,KCHI
13,Elan,donatow-a1-nsm,5263.94,1.82,KCHI
14,Elan,donatow-a1-nsm,5265.76,2.02,KCHI
15,Elan,donatow-a1-nsm,5269.9,5.25,KCHI
16,Elan,donatow-a1-nsm,5290.92,0.65,KCHI
17,Elan,donatow-a1-nsm,5291.57,0.48,KCHI
18,Elan,donatow-a1-nsm,5292.04,0.29,KCHI
19,Elan,donatow-a1-nsm,5292.33,0.24,KCHI
20,Elan,donatow-a1-nsm,5292.57,0.26,KCHI
21,Elan,donatow-a1-nsm,5292.83,1.71,KCHI
22,Elan,donatow-a1-nsm,5294.54,0.44,KCHI
23,Elan,donatow-a1-nsm,5294.98,0.22,KCHI
24,Elan,donatow-a1-nsm,5296.85,8.91,KCHI
25,Elan,donatow-a1-nsm,5308.07,0.9,KCHI
26,Elan,donatow-a1-nsm,5311.12,1.61,KCHI
27,Elan,donatow-a1-nsm,5312.73,6.56,KCHI
28,Elan,donatow-a1-nsm,5320.0,0.76,KCHI
29,Elan,donatow-a1-nsm,5321.85,2.07,KCHI
30,Elan,donatow-a1-nsm,5323.92,0.62,KCHI
31,Elan,donatow-a1-nsm,5327.15,4.41,KCHI
32,Elan,donatow-a1-nsm,5331.56,0.84,KCHI
33,Elan,donatow-a1-nsm,5332.41,1.36,KCHI
34,Elan,donatow-a1-nsm,5333.77,1.91,KCHI
35,Elan,donatow-a1-nsm,5335.68,20.18,KCHI
36,Elan,donatow-a1-nsm,5355.86,12.19,KCHI
37,Elan,donatow-a1-nsm,5368.04,34.46,KCHI
38,Elan,donatow-a1-nsm,5402.5,4.23,KCHI
39,Elan,donatow-a1-nsm,5406.73,48.79,KCHI
40,Elan,donatow-a1-nsm,5455.52,23.14,KCHI
41,Elan,donatow-a1-nsm,5478.65,6.85,KCHI
42,Elan,donatow-a1-nsm,5485.51,5.23,KCHI
43,Elan,donatow-a1-nsm,5509.85,5.32,KCHI
44,Elan,donatow-a1-nsm,5549.11,1.82,KCHI
45,Elan,donatow-a1-nsm,5553.94,5.79,KCHI
46,Elan,donatow-a1-nsm,5577.29,0.81,KCHI
47,Elan,donatow-a1-nsm,5581.88,1.0,KCHI
48,Elan,donatow-a1-nsm,5587.12,1.88,KCHI
49,Elan,donatow-a1-nsm,5596.3,0.89,KCHI
50,Elan,donatow-a1-nsm,5597.19,0.87,KCHI
51,Elan,donatow-a1-nsm,5609.52,11.75,KCHI
52,Elan,donatow-a1-nsm,5635.24,1.06,KCHI
53,Elan,donatow-a1-nsm,5637.22,1.31,KCHI
54,Elan,donatow-a1-nsm,5638.53,4.86,KCHI
55,Elan,donatow-a1-nsm,5646.17,2.24,KCHI
56,Elan,donatow-a1-nsm,5661.56,7.36,KCHI
57,Elan,donatow-a1-nsm,5668.92,2.67,KCHI
58,Elan,donatow-a1-nsm,5671.59,2.36,KCHI
59,Elan,donatow-a1-nsm,5676.47,36.05,KCHI
60,Elan,donatow-a1-nsm,5713.38,4.14,KCHI
61,Elan,donatow-a1-nsm,5718.88,2.1,KCHI
62,Elan,donatow-a1-nsm,5727.41,4.72,KCHI
63,Elan,donatow-a1-nsm,5734.38,0.56,KCHI
64,Elan,donatow-a1-nsm,5734.94,0.63,KCHI
65,Elan,donatow-a1-nsm,5751.72,1.13,KCHI
66,Elan,donatow-a1-nsm,5756.24,1.49,KCHI
67,Elan,donatow-a1-nsm,5758.15,0.38,KCHI
68,Elan,donatow-a1-nsm,5767.64,7.57,KCHI
69,Elan,donatow-a1-nsm,5775.22,1.61,KCHI
70,Elan,donatow-a1-nsm,5783.02,6.41,KCHI
71,Elan,donatow-a1-nsm,5789.43,1.32,KCHI
72,Elan,donatow-a1-nsm,5790.75,0.81,KCHI
73,Elan,donatow-a1-nsm,5791.57,1.43,KCHI
74,Elan,donatow-a1-nsm,5798.97,0.78,KCHI
75,Elan,donatow-a1-nsm,5801.77,1.38,KCHI
