,Type,File ID,Start Time,Duration,STypeNew
0,Elan,francescam-a1-nsm,0.0,3568.19,FEM
1,Elan,francescam-a1-nsm,3568.19,0.58,FEM
2,Elan,francescam-a1-nsm,3568.76,3.72,FEM
3,Elan,francescam-a1-nsm,3572.49,0.94,FEM
4,Elan,francescam-a1-nsm,3573.42,0.7,FEM
5,Elan,francescam-a1-nsm,3574.13,12.04,FEM
6,Elan,francescam-a1-nsm,3586.17,2.44,FEM
7,Elan,francescam-a1-nsm,3588.61,2.92,FEM
8,Elan,francescam-a1-nsm,3611.34,9.23,FEM
9,Elan,francescam-a1-nsm,3620.57,3.51,FEM
10,Elan,francescam-a1-nsm,3624.08,1.51,FEM
11,Elan,francescam-a1-nsm,3743.83,2.27,FEM
12,Elan,francescam-a1-nsm,3746.1,2.01,FEM
13,Elan,francescam-a1-nsm,3748.11,2.62,FEM
14,Elan,francescam-a1-nsm,3750.72,1.16,FEM
15,Elan,francescam-a1-nsm,3751.88,4.53,FEM
16,Elan,francescam-a1-nsm,3756.41,2.04,FEM
17,Elan,francescam-a1-nsm,3763.58,1.34,FEM
18,Elan,francescam-a1-nsm,3764.92,1.37,FEM
19,Elan,francescam-a1-nsm,3766.29,2.38,FEM
20,Elan,francescam-a1-nsm,3769.72,0.74,FEM
21,Elan,francescam-a1-nsm,3770.47,3.39,FEM
22,Elan,francescam-a1-nsm,3773.86,3.09,FEM
23,Elan,francescam-a1-nsm,3776.95,4.07,FEM
24,Elan,francescam-a1-nsm,3781.02,3.28,FEM
25,Elan,francescam-a1-nsm,3784.3,1.05,FEM
26,Elan,francescam-a1-nsm,3785.36,0.45,FEM
27,Elan,francescam-a1-nsm,3785.81,1.82,FEM
28,Elan,francescam-a1-nsm,3787.63,1.65,FEM
29,Elan,francescam-a1-nsm,3789.28,2.63,FEM
30,Elan,francescam-a1-nsm,3791.91,8.02,FEM
31,Elan,francescam-a1-nsm,3799.93,4.4,FEM
32,Elan,francescam-a1-nsm,3821.61,4.53,FEM
33,Elan,francescam-a1-nsm,3826.14,3.99,FEM
34,Elan,francescam-a1-nsm,3830.13,8.38,FEM
35,Elan,francescam-a1-nsm,3843.44,12.04,FEM
36,Elan,francescam-a1-nsm,3855.48,0.67,FEM
37,Elan,francescam-a1-nsm,3856.15,0.93,FEM
38,Elan,francescam-a1-nsm,3857.07,2.76,FEM
39,Elan,francescam-a1-nsm,3859.83,4.25,FEM
40,Elan,francescam-a1-nsm,3864.08,5.09,FEM
41,Elan,francescam-a1-nsm,3869.17,1.81,FEM
42,Elan,francescam-a1-nsm,3870.98,2.35,FEM
43,Elan,francescam-a1-nsm,3873.33,5.7,FEM
44,Elan,francescam-a1-nsm,3880.21,0.45,FEM
45,Elan,francescam-a1-nsm,3880.66,1.29,FEM
46,Elan,francescam-a1-nsm,3881.95,2.49,FEM
47,Elan,francescam-a1-nsm,3884.43,2.39,FEM
48,Elan,francescam-a1-nsm,3886.82,2.13,FEM
49,Elan,francescam-a1-nsm,3888.95,2.76,FEM
50,Elan,francescam-a1-nsm,3891.71,1.57,FEM
51,Elan,francescam-a1-nsm,3893.28,5.15,FEM
52,Elan,francescam-a1-nsm,3900.12,0.93,FEM
53,Elan,francescam-a1-nsm,3901.06,0.59,FEM
54,Elan,francescam-a1-nsm,3901.64,1.78,FEM
55,Elan,francescam-a1-nsm,3903.42,2.5,FEM
56,Elan,francescam-a1-nsm,3905.92,1.76,FEM
57,Elan,francescam-a1-nsm,3907.69,2.38,FEM
58,Elan,francescam-a1-nsm,3910.07,2.1,FEM
59,Elan,francescam-a1-nsm,3927.17,116.92,FEM
