,Type,File ID,Start Time,Duration,STypeNew
0,Elan,helenitab-a1-nsm,0.0,3546.53,FEM
1,Elan,helenitab-a1-nsm,3553.58,3.59,FEM
2,Elan,helenitab-a1-nsm,3560.29,7.49,FEM
3,Elan,helenitab-a1-nsm,3567.78,3.27,FEM
4,Elan,helenitab-a1-nsm,3571.05,5.17,FEM
5,Elan,helenitab-a1-nsm,3576.22,6.93,FEM
6,Elan,helenitab-a1-nsm,3583.16,3.76,FEM
7,Elan,helenitab-a1-nsm,3588.22,4.64,FEM
8,Elan,helenitab-a1-nsm,3592.86,3.31,FEM
9,Elan,helenitab-a1-nsm,3597.29,1.14,FEM
10,Elan,helenitab-a1-nsm,3601.57,0.52,FEM
11,Elan,helenitab-a1-nsm,3602.66,0.89,FEM
12,Elan,helenitab-a1-nsm,3604.95,4.02,FEM
13,Elan,helenitab-a1-nsm,3608.98,3.84,FEM
14,Elan,helenitab-a1-nsm,3612.81,1.56,FEM
15,Elan,helenitab-a1-nsm,3614.37,1.16,FEM
16,Elan,helenitab-a1-nsm,3615.53,4.92,FEM
17,Elan,helenitab-a1-nsm,3624.3,0.73,FEM
18,Elan,helenitab-a1-nsm,3625.02,2.23,FEM
19,Elan,helenitab-a1-nsm,3627.26,5.85,FEM
20,Elan,helenitab-a1-nsm,4077.53,1.28,FEM
21,Elan,helenitab-a1-nsm,4081.61,3.27,FEM
22,Elan,helenitab-a1-nsm,4085.48,1.07,FEM
23,Elan,helenitab-a1-nsm,4089.34,0.93,FEM
24,Elan,helenitab-a1-nsm,4091.7,0.55,FEM
25,Elan,helenitab-a1-nsm,4093.43,2.85,FEM
26,Elan,helenitab-a1-nsm,4097.34,1.01,FEM
27,Elan,helenitab-a1-nsm,4100.35,2.48,FEM
28,Elan,helenitab-a1-nsm,4104.94,0.61,FEM
29,Elan,helenitab-a1-nsm,4105.55,3.58,FEM
30,Elan,helenitab-a1-nsm,4111.17,2.69,FEM
31,Elan,helenitab-a1-nsm,4132.21,10.1,FEM
32,Elan,helenitab-a1-nsm,4142.31,6.51,FEM
33,Elan,helenitab-a1-nsm,4149.95,2.07,FEM
34,Elan,helenitab-a1-nsm,4153.16,0.75,FEM
35,Elan,helenitab-a1-nsm,4154.7,5.59,FEM
36,Elan,helenitab-a1-nsm,4160.29,3.21,FEM
37,Elan,helenitab-a1-nsm,4186.76,1.21,FEM
38,Elan,helenitab-a1-nsm,4187.97,3.28,FEM
39,Elan,helenitab-a1-nsm,4193.35,11.49,FEM
40,Elan,helenitab-a1-nsm,4204.84,2.02,FEM
41,Elan,helenitab-a1-nsm,4206.85,5.48,FEM
42,Elan,helenitab-a1-nsm,4212.34,28.87,FEM
43,Elan,helenitab-a1-nsm,4241.21,6.51,FEM
44,Elan,helenitab-a1-nsm,4248.73,0.96,FEM
45,Elan,helenitab-a1-nsm,4249.69,1.47,FEM
