,Type,File ID,Start Time,Duration,STypeNew
0,Elan,juanpablos-a1-nsm,3587.84,12.74,KCHI
1,Elan,juanpablos-a1-nsm,3634.54,5.03,KCHI
2,Elan,juanpablos-a1-nsm,3646.03,0.83,KCHI
3,Elan,juanpablos-a1-nsm,3649.05,1.8,KCHI
4,Elan,juanpablos-a1-nsm,3666.42,0.4,KCHI
5,Elan,juanpablos-a1-nsm,3670.07,3.82,KCHI
6,Elan,juanpablos-a1-nsm,3685.94,0.88,KCHI
7,Elan,juanpablos-a1-nsm,3691.87,0.89,KCHI
8,Elan,juanpablos-a1-nsm,3694.81,1.59,KCHI
9,Elan,juanpablos-a1-nsm,3724.39,6.52,KCHI
10,Elan,juanpablos-a1-nsm,3730.91,4.49,KCHI
11,Elan,juanpablos-a1-nsm,3742.05,2.75,KCHI
12,Elan,juanpablos-a1-nsm,3755.77,0.72,KCHI
13,Elan,juanpablos-a1-nsm,3757.07,0.56,KCHI
14,Elan,juanpablos-a1-nsm,3757.63,0.57,KCHI
15,Elan,juanpablos-a1-nsm,3759.46,0.55,KCHI
16,Elan,juanpablos-a1-nsm,3761.45,2.1,KCHI
17,Elan,juanpablos-a1-nsm,3764.08,0.67,KCHI
18,Elan,juanpablos-a1-nsm,3766.49,1.45,KCHI
19,Elan,juanpablos-a1-nsm,3770.59,2.01,KCHI
20,Elan,juanpablos-a1-nsm,3773.98,1.19,KCHI
21,Elan,juanpablos-a1-nsm,3777.29,0.58,KCHI
22,Elan,juanpablos-a1-nsm,3782.61,0.89,KCHI
23,Elan,juanpablos-a1-nsm,3783.5,8.64,KCHI
24,Elan,juanpablos-a1-nsm,3798.25,4.07,KCHI
25,Elan,juanpablos-a1-nsm,3802.32,9.35,KCHI
26,Elan,juanpablos-a1-nsm,3815.39,1.21,KCHI
27,Elan,juanpablos-a1-nsm,3816.6,1.11,KCHI
28,Elan,juanpablos-a1-nsm,3817.71,78.09,KCHI
29,Elan,juanpablos-a1-nsm,3907.18,1.23,KCHI
30,Elan,juanpablos-a1-nsm,3922.86,2.21,KCHI
31,Elan,juanpablos-a1-nsm,3927.01,1.63,KCHI
32,Elan,juanpablos-a1-nsm,3959.91,5.0,KCHI
33,Elan,juanpablos-a1-nsm,3991.11,1.01,KCHI
34,Elan,juanpablos-a1-nsm,4001.96,1.12,KCHI
35,Elan,juanpablos-a1-nsm,4017.8,5.94,KCHI
36,Elan,juanpablos-a1-nsm,4091.61,2.01,KCHI
37,Elan,juanpablos-a1-nsm,4150.58,1.12,KCHI
38,Elan,juanpablos-a1-nsm,4154.77,2.57,KCHI
39,Elan,juanpablos-a1-nsm,4179.21,4.9,KCHI
40,Elan,juanpablos-a1-nsm,4193.45,15.02,KCHI
41,Elan,juanpablos-a1-nsm,4235.17,2.49,KCHI
42,Elan,juanpablos-a1-nsm,4270.27,1.79,KCHI
43,Elan,juanpablos-a1-nsm,4320.43,3.36,KCHI
44,Elan,juanpablos-a1-nsm,4325.36,7.06,KCHI
45,Elan,juanpablos-a1-nsm,4332.42,3.4,KCHI
46,Elan,juanpablos-a1-nsm,4344.25,1.53,KCHI
47,Elan,juanpablos-a1-nsm,4348.73,1.41,KCHI
48,Elan,juanpablos-a1-nsm,4351.48,0.91,KCHI
49,Elan,juanpablos-a1-nsm,4368.15,0.5,KCHI
50,Elan,juanpablos-a1-nsm,4375.84,1.08,KCHI
51,Elan,juanpablos-a1-nsm,4390.79,0.82,KCHI
52,Elan,juanpablos-a1-nsm,4409.05,14.46,KCHI
53,Elan,juanpablos-a1-nsm,4423.51,16.25,KCHI
54,Elan,juanpablos-a1-nsm,4509.85,3.23,KCHI
55,Elan,juanpablos-a1-nsm,4513.09,14.66,KCHI
56,Elan,juanpablos-a1-nsm,4542.25,5.64,KCHI
57,Elan,juanpablos-a1-nsm,4549.28,0.48,KCHI
58,Elan,juanpablos-a1-nsm,4550.48,2.34,KCHI
59,Elan,juanpablos-a1-nsm,4558.67,0.93,KCHI
60,Elan,juanpablos-a1-nsm,4573.49,0.65,KCHI
61,Elan,juanpablos-a1-nsm,4574.14,2.28,KCHI
62,Elan,juanpablos-a1-nsm,4576.42,1.89,KCHI
63,Elan,juanpablos-a1-nsm,4578.31,15.57,KCHI
64,Elan,juanpablos-a1-nsm,4593.88,20.69,KCHI
65,Elan,juanpablos-a1-nsm,4614.57,40.86,KCHI
66,Elan,juanpablos-a1-nsm,4655.44,13.59,KCHI
67,Elan,juanpablos-a1-nsm,4669.03,6.46,KCHI
68,Elan,juanpablos-a1-nsm,4696.61,16.23,KCHI
69,Elan,juanpablos-a1-nsm,4752.48,1.58,KCHI
70,Elan,juanpablos-a1-nsm,4755.36,0.8,KCHI
71,Elan,juanpablos-a1-nsm,4766.36,1.4,KCHI
72,Elan,juanpablos-a1-nsm,4768.7,2.33,KCHI
73,Elan,juanpablos-a1-nsm,4771.03,2.44,KCHI
74,Elan,juanpablos-a1-nsm,4773.47,7.58,KCHI
75,Elan,juanpablos-a1-nsm,4781.05,20.93,KCHI
76,Elan,juanpablos-a1-nsm,4801.98,48.62,KCHI
77,Elan,juanpablos-a1-nsm,4898.81,3.98,KCHI
78,Elan,juanpablos-a1-nsm,4923.11,0.67,KCHI
79,Elan,juanpablos-a1-nsm,4923.78,3.04,KCHI
80,Elan,juanpablos-a1-nsm,4957.37,5.35,KCHI
81,Elan,juanpablos-a1-nsm,4978.79,10.32,KCHI
82,Elan,juanpablos-a1-nsm,5017.47,0.7,KCHI
83,Elan,juanpablos-a1-nsm,5061.07,2.95,KCHI
84,Elan,juanpablos-a1-nsm,5065.5,1.99,KCHI
85,Elan,juanpablos-a1-nsm,5069.2,0.88,KCHI
86,Elan,juanpablos-a1-nsm,5094.3,1.72,KCHI
87,Elan,juanpablos-a1-nsm,5100.59,0.7,KCHI
88,Elan,juanpablos-a1-nsm,5104.62,1.24,KCHI
89,Elan,juanpablos-a1-nsm,5106.69,0.83,KCHI
90,Elan,juanpablos-a1-nsm,5113.87,1.2,KCHI
91,Elan,juanpablos-a1-nsm,5150.58,2.17,KCHI
92,Elan,juanpablos-a1-nsm,5260.97,1.18,KCHI
93,Elan,juanpablos-a1-nsm,5262.15,11.23,KCHI
94,Elan,juanpablos-a1-nsm,5314.03,2.05,KCHI
95,Elan,juanpablos-a1-nsm,5317.97,1.18,KCHI
96,Elan,juanpablos-a1-nsm,5320.56,3.62,KCHI
97,Elan,juanpablos-a1-nsm,5326.59,1.24,KCHI
98,Elan,juanpablos-a1-nsm,5333.59,1.04,KCHI
99,Elan,juanpablos-a1-nsm,5407.06,0.64,KCHI
100,Elan,juanpablos-a1-nsm,5411.25,1.89,KCHI
101,Elan,juanpablos-a1-nsm,5414.12,2.79,KCHI
102,Elan,juanpablos-a1-nsm,5434.06,1.38,KCHI
103,Elan,juanpablos-a1-nsm,5460.62,2.03,KCHI
104,Elan,juanpablos-a1-nsm,5467.88,2.98,KCHI
105,Elan,juanpablos-a1-nsm,5481.73,29.65,KCHI
106,Elan,juanpablos-a1-nsm,5539.67,5.46,KCHI
107,Elan,juanpablos-a1-nsm,5570.14,1.36,KCHI
108,Elan,juanpablos-a1-nsm,5629.01,0.98,KCHI
109,Elan,juanpablos-a1-nsm,5640.44,5.62,KCHI
110,Elan,juanpablos-a1-nsm,5651.38,0.57,KCHI
111,Elan,juanpablos-a1-nsm,5652.55,0.76,KCHI
112,Elan,juanpablos-a1-nsm,5654.58,1.36,KCHI
113,Elan,juanpablos-a1-nsm,5660.64,1.36,KCHI
114,Elan,juanpablos-a1-nsm,5662.0,1.4,KCHI
115,Elan,juanpablos-a1-nsm,5678.56,2.12,KCHI
116,Elan,juanpablos-a1-nsm,5703.73,1.83,KCHI
117,Elan,juanpablos-a1-nsm,5719.17,3.89,KCHI
118,Elan,juanpablos-a1-nsm,5723.81,1.14,KCHI
119,Elan,juanpablos-a1-nsm,5740.68,1.02,KCHI
120,Elan,juanpablos-a1-nsm,5747.47,0.73,KCHI
121,Elan,juanpablos-a1-nsm,5755.1,1.14,KCHI
122,Elan,juanpablos-a1-nsm,5766.55,11.58,KCHI
123,Elan,juanpablos-a1-nsm,5811.64,4.11,KCHI
124,Elan,juanpablos-a1-nsm,5815.76,8.65,KCHI
125,Elan,juanpablos-a1-nsm,5900.16,1.54,KCHI
126,Elan,juanpablos-a1-nsm,5922.0,3.14,KCHI
127,Elan,juanpablos-a1-nsm,5953.99,3.8,KCHI
128,Elan,juanpablos-a1-nsm,5958.92,0.58,KCHI
129,Elan,juanpablos-a1-nsm,5960.12,1.01,KCHI
130,Elan,juanpablos-a1-nsm,5961.89,1.38,KCHI
131,Elan,juanpablos-a1-nsm,5967.33,1.22,KCHI
132,Elan,juanpablos-a1-nsm,5998.71,1.85,KCHI
133,Elan,juanpablos-a1-nsm,6003.54,5.56,KCHI
134,Elan,juanpablos-a1-nsm,6020.34,1.8,KCHI
135,Elan,juanpablos-a1-nsm,6044.14,0.94,KCHI
136,Elan,juanpablos-a1-nsm,6096.32,0.92,KCHI
137,Elan,juanpablos-a1-nsm,6098.26,0.95,KCHI
138,Elan,juanpablos-a1-nsm,6101.69,1.85,KCHI
139,Elan,juanpablos-a1-nsm,6106.56,2.28,KCHI
140,Elan,juanpablos-a1-nsm,6109.81,0.74,KCHI
141,Elan,juanpablos-a1-nsm,6116.32,4.68,KCHI
142,Elan,juanpablos-a1-nsm,6122.59,2.49,KCHI
143,Elan,juanpablos-a1-nsm,6140.21,4.21,KCHI
144,Elan,juanpablos-a1-nsm,6146.45,1.03,KCHI
145,Elan,juanpablos-a1-nsm,6193.66,3.37,KCHI
146,Elan,juanpablos-a1-nsm,6267.65,2.16,KCHI
147,Elan,juanpablos-a1-nsm,6270.45,0.95,KCHI
148,Elan,juanpablos-a1-nsm,6271.4,3.35,KCHI
149,Elan,juanpablos-a1-nsm,6278.81,1.67,KCHI
150,Elan,juanpablos-a1-nsm,6283.58,0.08,KCHI
