,Type,File ID,Start Time,Duration,STypeNew
0,Elan,juliaa-a1-nsm,57.68,4.85,KCHI
1,Elan,juliaa-a1-nsm,138.92,2.45,KCHI
2,Elan,juliaa-a1-nsm,147.51,4.21,KCHI
3,Elan,juliaa-a1-nsm,170.85,0.79,KCHI
4,Elan,juliaa-a1-nsm,184.82,10.57,KCHI
5,Elan,juliaa-a1-nsm,264.94,5.88,KCHI
6,Elan,juliaa-a1-nsm,431.98,0.74,KCHI
7,Elan,juliaa-a1-nsm,433.4,41.3,KCHI
8,Elan,juliaa-a1-nsm,474.7,0.96,KCHI
9,Elan,juliaa-a1-nsm,491.44,8.43,KCHI
10,Elan,juliaa-a1-nsm,499.87,4.1,KCHI
11,Elan,juliaa-a1-nsm,503.97,2.37,KCHI
12,Elan,juliaa-a1-nsm,506.34,1.84,KCHI
13,Elan,juliaa-a1-nsm,508.18,3.73,KCHI
14,Elan,juliaa-a1-nsm,511.91,14.86,KCHI
15,Elan,juliaa-a1-nsm,535.34,2.5,KCHI
16,Elan,juliaa-a1-nsm,537.84,10.37,KCHI
17,Elan,juliaa-a1-nsm,552.96,3.39,KCHI
18,Elan,juliaa-a1-nsm,560.16,1.09,KCHI
19,Elan,juliaa-a1-nsm,563.35,9.4,KCHI
20,Elan,juliaa-a1-nsm,572.75,14.62,KCHI
21,Elan,juliaa-a1-nsm,587.37,6.66,KCHI
22,Elan,juliaa-a1-nsm,594.04,0.97,KCHI
23,Elan,juliaa-a1-nsm,810.61,8.27,KCHI
24,Elan,juliaa-a1-nsm,818.89,14.44,KCHI
25,Elan,juliaa-a1-nsm,833.33,10.12,KCHI
26,Elan,juliaa-a1-nsm,843.44,3.19,KCHI
27,Elan,juliaa-a1-nsm,846.64,3.19,KCHI
28,Elan,juliaa-a1-nsm,849.83,1.02,KCHI
29,Elan,juliaa-a1-nsm,879.85,5.17,KCHI
30,Elan,juliaa-a1-nsm,905.31,1.74,KCHI
31,Elan,juliaa-a1-nsm,926.18,1.44,KCHI
32,Elan,juliaa-a1-nsm,938.96,2.83,KCHI
33,Elan,juliaa-a1-nsm,952.65,4.0,KCHI
34,Elan,juliaa-a1-nsm,977.07,4.34,KCHI
35,Elan,juliaa-a1-nsm,990.53,7.14,KCHI
36,Elan,juliaa-a1-nsm,997.68,1.54,KCHI
37,Elan,juliaa-a1-nsm,999.81,0.62,KCHI
38,Elan,juliaa-a1-nsm,1000.42,0.69,KCHI
39,Elan,juliaa-a1-nsm,1301.02,4.81,KCHI
40,Elan,juliaa-a1-nsm,1478.12,1.29,KCHI
41,Elan,juliaa-a1-nsm,1480.28,0.46,KCHI
42,Elan,juliaa-a1-nsm,1497.18,1.11,KCHI
43,Elan,juliaa-a1-nsm,1542.4,3.31,KCHI
44,Elan,juliaa-a1-nsm,1600.37,3.03,KCHI
45,Elan,juliaa-a1-nsm,1603.4,1.14,KCHI
46,Elan,juliaa-a1-nsm,1604.55,0.94,KCHI
47,Elan,juliaa-a1-nsm,1688.55,1.66,KCHI
48,Elan,juliaa-a1-nsm,1692.2,3.11,KCHI
49,Elan,juliaa-a1-nsm,1700.65,1.56,KCHI
50,Elan,juliaa-a1-nsm,1702.21,18.44,KCHI
51,Elan,juliaa-a1-nsm,1737.37,6.31,KCHI
52,Elan,juliaa-a1-nsm,1745.2,26.79,KCHI
53,Elan,juliaa-a1-nsm,1771.99,19.04,KCHI
54,Elan,juliaa-a1-nsm,1791.03,4.85,KCHI
55,Elan,juliaa-a1-nsm,1795.88,17.16,KCHI
56,Elan,juliaa-a1-nsm,1813.04,8.6,KCHI
57,Elan,juliaa-a1-nsm,1821.64,1.96,KCHI
58,Elan,juliaa-a1-nsm,1823.6,12.51,KCHI
59,Elan,juliaa-a1-nsm,1836.11,33.85,KCHI
60,Elan,juliaa-a1-nsm,1869.96,10.12,KCHI
61,Elan,juliaa-a1-nsm,1880.08,14.18,KCHI
62,Elan,juliaa-a1-nsm,1894.25,1.15,KCHI
63,Elan,juliaa-a1-nsm,1895.4,21.15,KCHI
64,Elan,juliaa-a1-nsm,1916.56,4.01,KCHI
65,Elan,juliaa-a1-nsm,1920.56,17.54,KCHI
66,Elan,juliaa-a1-nsm,1938.1,22.07,KCHI
67,Elan,juliaa-a1-nsm,1960.17,14.18,KCHI
68,Elan,juliaa-a1-nsm,1974.35,28.01,KCHI
69,Elan,juliaa-a1-nsm,2002.36,18.06,KCHI
70,Elan,juliaa-a1-nsm,2020.42,18.02,KCHI
