,Type,File ID,Start Time,Duration,STypeNew
0,Elan,lucianal-a1-nsb,0.0,3575.4,FEM
1,Elan,lucianal-a1-nsb,3608.73,3.47,FEM
2,Elan,lucianal-a1-nsb,3655.59,1.98,FEM
3,Elan,lucianal-a1-nsb,3696.48,1.86,FEM
4,Elan,lucianal-a1-nsb,3700.72,4.47,FEM
5,Elan,lucianal-a1-nsb,3705.19,0.78,FEM
6,Elan,lucianal-a1-nsb,3720.07,1.27,FEM
7,Elan,lucianal-a1-nsb,3726.53,10.0,FEM
8,Elan,lucianal-a1-nsb,3738.72,3.57,FEM
9,Elan,lucianal-a1-nsb,3743.92,1.28,FEM
10,Elan,lucianal-a1-nsb,3745.2,1.06,FEM
11,Elan,lucianal-a1-nsb,3746.26,2.59,FEM
12,Elan,lucianal-a1-nsb,3757.28,4.74,FEM
13,Elan,lucianal-a1-nsb,3762.02,9.63,FEM
14,Elan,lucianal-a1-nsb,3782.64,14.61,FEM
15,Elan,lucianal-a1-nsb,3815.42,2.66,FEM
16,Elan,lucianal-a1-nsb,3818.07,5.48,FEM
17,Elan,lucianal-a1-nsb,3823.55,4.9,FEM
18,Elan,lucianal-a1-nsb,3832.79,8.11,FEM
19,Elan,lucianal-a1-nsb,3856.86,2.37,FEM
20,Elan,lucianal-a1-nsb,3879.04,1.93,FEM
21,Elan,lucianal-a1-nsb,3882.41,1.61,FEM
22,Elan,lucianal-a1-nsb,3889.8,2.77,FEM
23,Elan,lucianal-a1-nsb,3894.34,4.66,FEM
24,Elan,lucianal-a1-nsb,3905.85,0.9,FEM
25,Elan,lucianal-a1-nsb,3910.0,11.43,FEM
26,Elan,lucianal-a1-nsb,3921.43,10.57,FEM
27,Elan,lucianal-a1-nsb,3931.99,2.64,FEM
28,Elan,lucianal-a1-nsb,3934.63,7.85,FEM
29,Elan,lucianal-a1-nsb,3942.48,6.95,FEM
30,Elan,lucianal-a1-nsb,3950.11,0.97,FEM
31,Elan,lucianal-a1-nsb,3951.08,3.46,FEM
32,Elan,lucianal-a1-nsb,3957.41,1.22,FEM
33,Elan,lucianal-a1-nsb,3958.62,6.56,FEM
34,Elan,lucianal-a1-nsb,3965.18,3.33,FEM
35,Elan,lucianal-a1-nsb,3968.51,8.28,FEM
36,Elan,lucianal-a1-nsb,3994.07,12.18,FEM
37,Elan,lucianal-a1-nsb,4006.25,10.22,FEM
38,Elan,lucianal-a1-nsb,4017.99,4.65,FEM
39,Elan,lucianal-a1-nsb,4051.59,14.9,FEM
40,Elan,lucianal-a1-nsb,4066.49,34.06,FEM
41,Elan,lucianal-a1-nsb,4100.55,3.14,FEM
42,Elan,lucianal-a1-nsb,4107.58,5.49,FEM
43,Elan,lucianal-a1-nsb,4113.57,13.72,FEM
44,Elan,lucianal-a1-nsb,4145.81,4.73,FEM
45,Elan,lucianal-a1-nsb,4150.54,4.22,FEM
46,Elan,lucianal-a1-nsb,4154.76,8.02,FEM
47,Elan,lucianal-a1-nsb,4162.78,5.89,FEM
48,Elan,lucianal-a1-nsb,4634.88,8.05,FEM
49,Elan,lucianal-a1-nsb,4646.1,118.83,FEM
50,Elan,lucianal-a1-nsb,4826.1,0.82,FEM
51,Elan,lucianal-a1-nsb,4829.63,0.38,FEM
52,Elan,lucianal-a1-nsb,4830.01,0.5,FEM
53,Elan,lucianal-a1-nsb,4830.51,1.13,FEM
54,Elan,lucianal-a1-nsb,4832.86,7.06,FEM
55,Elan,lucianal-a1-nsb,4839.92,22.07,FEM
56,Elan,lucianal-a1-nsb,4861.99,0.89,FEM
57,Elan,lucianal-a1-nsb,4887.95,1.81,FEM
58,Elan,lucianal-a1-nsb,4889.76,5.34,FEM
59,Elan,lucianal-a1-nsb,4922.35,10.8,FEM
60,Elan,lucianal-a1-nsb,4940.76,77.99,FEM
61,Elan,lucianal-a1-nsb,5018.75,6.74,FEM
