,Type,File ID,Start Time,Duration,STypeNew
0,Elan,maileno-a1-nsb,0.0,3584.1,KCHI
1,Elan,maileno-a1-nsb,3584.1,5.66,KCHI
2,Elan,maileno-a1-nsb,3589.75,2.9,KCHI
3,Elan,maileno-a1-nsb,3677.02,2.74,KCHI
4,Elan,maileno-a1-nsb,3682.37,3.77,KCHI
5,Elan,maileno-a1-nsb,3689.24,1.33,KCHI
6,Elan,maileno-a1-nsb,3692.6,1.23,KCHI
7,Elan,maileno-a1-nsb,3702.76,5.19,KCHI
8,Elan,maileno-a1-nsb,3720.89,1.07,KCHI
9,Elan,maileno-a1-nsb,3722.6,2.23,KCHI
10,Elan,maileno-a1-nsb,3728.72,0.5,KCHI
11,Elan,maileno-a1-nsb,3741.76,8.33,KCHI
12,Elan,maileno-a1-nsb,3752.93,5.55,KCHI
13,Elan,maileno-a1-nsb,3758.48,4.56,KCHI
14,Elan,maileno-a1-nsb,3763.04,6.33,KCHI
15,Elan,maileno-a1-nsb,3769.37,1.46,KCHI
16,Elan,maileno-a1-nsb,3803.9,1.5,KCHI
17,Elan,maileno-a1-nsb,3805.4,0.73,KCHI
18,Elan,maileno-a1-nsb,3837.09,1.82,KCHI
19,Elan,maileno-a1-nsb,3847.97,1.53,KCHI
20,Elan,maileno-a1-nsb,3851.14,1.39,KCHI
21,Elan,maileno-a1-nsb,3852.53,1.11,KCHI
22,Elan,maileno-a1-nsb,3856.7,2.41,KCHI
23,Elan,maileno-a1-nsb,3876.27,5.76,KCHI
24,Elan,maileno-a1-nsb,3896.06,2.65,KCHI
25,Elan,maileno-a1-nsb,3908.61,1.88,KCHI
26,Elan,maileno-a1-nsb,3910.49,25.54,KCHI
27,Elan,maileno-a1-nsb,3942.86,1.61,KCHI
28,Elan,maileno-a1-nsb,3949.02,1.34,KCHI
29,Elan,maileno-a1-nsb,3953.54,4.71,KCHI
30,Elan,maileno-a1-nsb,3962.57,1.1,KCHI
31,Elan,maileno-a1-nsb,3991.6,1.13,KCHI
32,Elan,maileno-a1-nsb,4005.93,7.39,KCHI
33,Elan,maileno-a1-nsb,4050.4,0.34,KCHI
34,Elan,maileno-a1-nsb,4066.62,2.12,KCHI
35,Elan,maileno-a1-nsb,4072.82,0.72,KCHI
36,Elan,maileno-a1-nsb,4084.04,0.58,KCHI
37,Elan,maileno-a1-nsb,4085.88,0.58,KCHI
38,Elan,maileno-a1-nsb,4086.47,1.4,KCHI
39,Elan,maileno-a1-nsb,4089.76,1.3,KCHI
40,Elan,maileno-a1-nsb,4091.07,2.89,KCHI
41,Elan,maileno-a1-nsb,4102.53,1.41,KCHI
42,Elan,maileno-a1-nsb,4118.32,2.58,KCHI
43,Elan,maileno-a1-nsb,4122.92,0.87,KCHI
44,Elan,maileno-a1-nsb,4130.04,0.91,KCHI
45,Elan,maileno-a1-nsb,4139.63,10.84,KCHI
46,Elan,maileno-a1-nsb,4185.95,2.87,KCHI
47,Elan,maileno-a1-nsb,4194.09,3.87,KCHI
48,Elan,maileno-a1-nsb,4197.96,3.02,KCHI
49,Elan,maileno-a1-nsb,4200.99,7.38,KCHI
50,Elan,maileno-a1-nsb,4209.87,0.86,KCHI
51,Elan,maileno-a1-nsb,4237.91,1.34,KCHI
52,Elan,maileno-a1-nsb,4246.06,2.55,KCHI
53,Elan,maileno-a1-nsb,4248.61,0.84,KCHI
54,Elan,maileno-a1-nsb,4253.41,1.14,KCHI
55,Elan,maileno-a1-nsb,4269.81,6.26,KCHI
56,Elan,maileno-a1-nsb,4276.07,2.03,KCHI
57,Elan,maileno-a1-nsb,4278.1,1.54,KCHI
58,Elan,maileno-a1-nsb,4283.96,4.86,KCHI
59,Elan,maileno-a1-nsb,4293.19,3.98,KCHI
60,Elan,maileno-a1-nsb,4301.3,2.45,KCHI
61,Elan,maileno-a1-nsb,4307.47,3.8,KCHI
62,Elan,maileno-a1-nsb,4311.27,4.97,KCHI
63,Elan,maileno-a1-nsb,4317.1,1.19,KCHI
64,Elan,maileno-a1-nsb,4318.29,2.58,KCHI
65,Elan,maileno-a1-nsb,4322.01,0.9,KCHI
66,Elan,maileno-a1-nsb,4322.91,0.84,KCHI
67,Elan,maileno-a1-nsb,4359.13,4.27,KCHI
