,Type,File ID,Start Time,Duration,STypeNew
0,Elan,nicolasb-a1-nsm,0.0,3245.91,FEM
1,Elan,nicolasb-a1-nsm,3245.91,52.31,FEM
2,Elan,nicolasb-a1-nsm,3299.33,0.31,FEM
3,Elan,nicolasb-a1-nsm,3304.74,2.26,FEM
4,Elan,nicolasb-a1-nsm,3307.97,1.16,FEM
5,Elan,nicolasb-a1-nsm,3310.39,5.14,FEM
6,Elan,nicolasb-a1-nsm,3345.36,1.36,FEM
7,Elan,nicolasb-a1-nsm,3346.71,21.14,FEM
8,Elan,nicolasb-a1-nsm,3389.75,1.64,FEM
9,Elan,nicolasb-a1-nsm,3392.24,0.42,FEM
10,Elan,nicolasb-a1-nsm,3392.66,3.66,FEM
11,Elan,nicolasb-a1-nsm,3425.2,0.41,FEM
12,Elan,nicolasb-a1-nsm,3430.19,1.19,FEM
13,Elan,nicolasb-a1-nsm,3431.38,2.82,FEM
14,Elan,nicolasb-a1-nsm,3461.8,2.46,FEM
15,Elan,nicolasb-a1-nsm,3466.03,0.54,FEM
16,Elan,nicolasb-a1-nsm,3476.66,0.95,FEM
17,Elan,nicolasb-a1-nsm,3481.59,1.15,FEM
18,Elan,nicolasb-a1-nsm,3489.59,1.82,FEM
19,Elan,nicolasb-a1-nsm,3491.41,0.34,FEM
20,Elan,nicolasb-a1-nsm,3491.75,7.64,FEM
21,Elan,nicolasb-a1-nsm,3500.26,5.71,FEM
22,Elan,nicolasb-a1-nsm,3505.97,1.2,FEM
23,Elan,nicolasb-a1-nsm,3507.81,36.93,FEM
24,Elan,nicolasb-a1-nsm,3544.74,12.2,FEM
25,Elan,nicolasb-a1-nsm,3556.94,6.67,FEM
26,Elan,nicolasb-a1-nsm,3571.89,38.34,FEM
27,Elan,nicolasb-a1-nsm,3610.23,47.08,FEM
28,Elan,nicolasb-a1-nsm,3657.31,1.19,FEM
29,Elan,nicolasb-a1-nsm,3658.5,2.64,FEM
30,Elan,nicolasb-a1-nsm,3661.14,23.1,FEM
31,Elan,nicolasb-a1-nsm,3684.24,5.34,FEM
32,Elan,nicolasb-a1-nsm,3689.57,41.18,FEM
33,Elan,nicolasb-a1-nsm,3730.75,30.29,FEM
34,Elan,nicolasb-a1-nsm,3761.04,1.36,FEM
35,Elan,nicolasb-a1-nsm,3762.4,3.4,FEM
36,Elan,nicolasb-a1-nsm,3765.8,1.64,FEM
