,Type,File ID,Start Time,Duration,STypeNew
0,Elan,nicolask-a1-nsm,0.0,3608.96,FEM
1,Elan,nicolask-a1-nsm,3608.96,0.36,FEM
2,Elan,nicolask-a1-nsm,3609.32,3.91,FEM
3,Elan,nicolask-a1-nsm,3613.23,0.54,FEM
4,Elan,nicolask-a1-nsm,3613.78,1.1,FEM
5,Elan,nicolask-a1-nsm,3618.76,1.31,FEM
6,Elan,nicolask-a1-nsm,3620.07,4.3,FEM
7,Elan,nicolask-a1-nsm,3624.37,7.09,FEM
8,Elan,nicolask-a1-nsm,3631.46,0.94,FEM
9,Elan,nicolask-a1-nsm,3632.4,46.43,FEM
10,Elan,nicolask-a1-nsm,3679.27,0.57,FEM
11,Elan,nicolask-a1-nsm,3679.84,0.99,FEM
12,Elan,nicolask-a1-nsm,3680.83,1.7,FEM
13,Elan,nicolask-a1-nsm,3686.27,0.51,FEM
14,Elan,nicolask-a1-nsm,3688.66,1.48,FEM
15,Elan,nicolask-a1-nsm,3690.14,20.65,FEM
16,Elan,nicolask-a1-nsm,3728.6,5.7,FEM
17,Elan,nicolask-a1-nsm,3734.3,1.25,FEM
18,Elan,nicolask-a1-nsm,3735.54,3.73,FEM
19,Elan,nicolask-a1-nsm,3741.58,0.61,FEM
20,Elan,nicolask-a1-nsm,3743.51,11.91,FEM
21,Elan,nicolask-a1-nsm,3764.01,5.53,FEM
22,Elan,nicolask-a1-nsm,3772.78,2.07,FEM
23,Elan,nicolask-a1-nsm,3774.85,2.79,FEM
24,Elan,nicolask-a1-nsm,3777.64,2.01,FEM
25,Elan,nicolask-a1-nsm,3779.65,0.61,FEM
26,Elan,nicolask-a1-nsm,3780.26,0.95,FEM
27,Elan,nicolask-a1-nsm,3781.21,3.18,FEM
28,Elan,nicolask-a1-nsm,3790.9,0.86,FEM
29,Elan,nicolask-a1-nsm,3797.61,2.87,FEM
30,Elan,nicolask-a1-nsm,3805.58,2.43,FEM
31,Elan,nicolask-a1-nsm,3808.01,2.12,FEM
32,Elan,nicolask-a1-nsm,3847.78,2.72,FEM
33,Elan,nicolask-a1-nsm,3854.45,0.64,FEM
34,Elan,nicolask-a1-nsm,4096.77,0.52,FEM
35,Elan,nicolask-a1-nsm,4100.13,1.39,FEM
36,Elan,nicolask-a1-nsm,4102.12,5.6,FEM
37,Elan,nicolask-a1-nsm,4109.11,4.89,FEM
38,Elan,nicolask-a1-nsm,4115.3,3.53,FEM
39,Elan,nicolask-a1-nsm,4129.51,0.67,FEM
40,Elan,nicolask-a1-nsm,4132.14,5.3,FEM
41,Elan,nicolask-a1-nsm,4138.75,4.82,FEM
42,Elan,nicolask-a1-nsm,4143.57,0.77,FEM
43,Elan,nicolask-a1-nsm,4144.9,0.82,FEM
44,Elan,nicolask-a1-nsm,4145.71,2.77,FEM
45,Elan,nicolask-a1-nsm,4148.48,1.2,FEM
46,Elan,nicolask-a1-nsm,4150.19,1.31,FEM
47,Elan,nicolask-a1-nsm,4151.5,2.09,FEM
48,Elan,nicolask-a1-nsm,4158.22,0.49,FEM
49,Elan,nicolask-a1-nsm,4162.97,2.99,FEM
50,Elan,nicolask-a1-nsm,4178.53,0.81,FEM
51,Elan,nicolask-a1-nsm,4185.9,3.1,FEM
52,Elan,nicolask-a1-nsm,4199.59,12.13,FEM
53,Elan,nicolask-a1-nsm,4222.98,11.36,FEM
54,Elan,nicolask-a1-nsm,4234.34,2.58,FEM
55,Elan,nicolask-a1-nsm,4237.99,3.72,FEM
56,Elan,nicolask-a1-nsm,4246.19,2.84,FEM
57,Elan,nicolask-a1-nsm,4400.27,0.82,FEM
58,Elan,nicolask-a1-nsm,4411.72,6.74,FEM
59,Elan,nicolask-a1-nsm,4418.46,2.89,FEM
60,Elan,nicolask-a1-nsm,4422.85,2.7,FEM
61,Elan,nicolask-a1-nsm,4425.55,2.62,FEM
62,Elan,nicolask-a1-nsm,4430.99,0.69,FEM
63,Elan,nicolask-a1-nsm,4432.64,2.44,FEM
64,Elan,nicolask-a1-nsm,4435.08,2.14,FEM
65,Elan,nicolask-a1-nsm,4438.77,2.19,FEM
66,Elan,nicolask-a1-nsm,4440.96,0.67,FEM
67,Elan,nicolask-a1-nsm,4442.21,4.17,FEM
68,Elan,nicolask-a1-nsm,4446.38,5.5,FEM
69,Elan,nicolask-a1-nsm,4460.17,65.16,FEM
70,Elan,nicolask-a1-nsm,4525.96,0.68,FEM
71,Elan,nicolask-a1-nsm,4528.45,30.22,FEM
72,Elan,nicolask-a1-nsm,4558.68,1.14,FEM
73,Elan,nicolask-a1-nsm,4561.26,0.94,FEM
74,Elan,nicolask-a1-nsm,4562.77,0.83,FEM
75,Elan,nicolask-a1-nsm,4564.96,2.9,FEM
76,Elan,nicolask-a1-nsm,4567.86,1.58,FEM
77,Elan,nicolask-a1-nsm,4569.45,1.16,FEM
78,Elan,nicolask-a1-nsm,4570.61,2.72,FEM
79,Elan,nicolask-a1-nsm,4573.33,3.42,FEM
80,Elan,nicolask-a1-nsm,4578.07,1.05,FEM
81,Elan,nicolask-a1-nsm,4581.43,0.58,FEM
82,Elan,nicolask-a1-nsm,4582.53,0.8,FEM
83,Elan,nicolask-a1-nsm,4587.38,1.14,FEM
84,Elan,nicolask-a1-nsm,4592.07,25.25,FEM
85,Elan,nicolask-a1-nsm,4617.32,1.65,FEM
86,Elan,nicolask-a1-nsm,4620.47,6.49,FEM
87,Elan,nicolask-a1-nsm,4626.96,6.78,FEM
88,Elan,nicolask-a1-nsm,4633.74,0.71,FEM
89,Elan,nicolask-a1-nsm,4635.19,2.1,FEM
90,Elan,nicolask-a1-nsm,4638.85,2.62,FEM
91,Elan,nicolask-a1-nsm,4641.46,1.83,FEM
92,Elan,nicolask-a1-nsm,4652.39,3.4,FEM
93,Elan,nicolask-a1-nsm,4655.79,2.36,FEM
94,Elan,nicolask-a1-nsm,4683.59,14.42,FEM
95,Elan,nicolask-a1-nsm,4698.02,3.62,FEM
96,Elan,nicolask-a1-nsm,4701.63,0.73,FEM
97,Elan,nicolask-a1-nsm,4705.34,0.46,FEM
98,Elan,nicolask-a1-nsm,4706.22,0.97,FEM
99,Elan,nicolask-a1-nsm,4707.19,0.6,FEM
100,Elan,nicolask-a1-nsm,4707.78,3.03,FEM
101,Elan,nicolask-a1-nsm,4710.81,1.23,FEM
102,Elan,nicolask-a1-nsm,4712.05,1.74,FEM
103,Elan,nicolask-a1-nsm,4713.78,2.03,FEM
104,Elan,nicolask-a1-nsm,4715.81,1.86,FEM
105,Elan,nicolask-a1-nsm,4717.68,6.34,FEM
106,Elan,nicolask-a1-nsm,4724.02,5.88,FEM
107,Elan,nicolask-a1-nsm,4729.9,12.2,FEM
108,Elan,nicolask-a1-nsm,4742.1,1.14,FEM
109,Elan,nicolask-a1-nsm,4743.24,1.3,FEM
110,Elan,nicolask-a1-nsm,4744.53,6.44,FEM
111,Elan,nicolask-a1-nsm,4750.98,28.4,FEM
112,Elan,nicolask-a1-nsm,4819.49,2.58,FEM
113,Elan,nicolask-a1-nsm,4822.07,2.12,FEM
114,Elan,nicolask-a1-nsm,4826.09,35.61,FEM
115,Elan,nicolask-a1-nsm,4861.7,17.1,FEM
116,Elan,nicolask-a1-nsm,4878.79,56.92,FEM
117,Elan,nicolask-a1-nsm,4935.71,2.54,FEM
118,Elan,nicolask-a1-nsm,4938.25,6.67,FEM
119,Elan,nicolask-a1-nsm,4944.92,3.46,FEM
120,Elan,nicolask-a1-nsm,4953.9,40.82,FEM
121,Elan,nicolask-a1-nsm,4994.72,1.59,FEM
122,Elan,nicolask-a1-nsm,4996.31,3.09,FEM
123,Elan,nicolask-a1-nsm,4999.4,2.03,FEM
124,Elan,nicolask-a1-nsm,5001.43,2.3,FEM
125,Elan,nicolask-a1-nsm,5003.73,0.6,FEM
126,Elan,nicolask-a1-nsm,5004.33,6.16,FEM
