,Type,File ID,Start Time,Duration,STypeNew
0,Elan,ummae-a1-nsb,0.0,3603.86,FEM
1,Elan,ummae-a1-nsb,3603.86,6.21,FEM
2,Elan,ummae-a1-nsb,3610.08,6.54,FEM
3,Elan,ummae-a1-nsb,3630.56,4.01,FEM
4,Elan,ummae-a1-nsb,3635.84,1.51,FEM
5,Elan,ummae-a1-nsb,3638.7,0.68,FEM
6,Elan,ummae-a1-nsb,3662.24,13.71,FEM
7,Elan,ummae-a1-nsb,3791.64,0.46,FEM
8,Elan,ummae-a1-nsb,3798.52,0.81,FEM
9,Elan,ummae-a1-nsb,3837.64,3.0,FEM
10,Elan,ummae-a1-nsb,3861.97,1.33,FEM
11,Elan,ummae-a1-nsb,3872.08,0.96,FEM
12,Elan,ummae-a1-nsb,3873.04,1.51,FEM
13,Elan,ummae-a1-nsb,3874.55,0.36,FEM
14,Elan,ummae-a1-nsb,3874.91,0.3,FEM
15,Elan,ummae-a1-nsb,3883.24,1.07,FEM
16,Elan,ummae-a1-nsb,3884.31,0.91,FEM
17,Elan,ummae-a1-nsb,3888.09,0.39,FEM
18,Elan,ummae-a1-nsb,3888.48,0.85,FEM
19,Elan,ummae-a1-nsb,3916.56,2.16,FEM
20,Elan,ummae-a1-nsb,3919.85,2.53,FEM
21,Elan,ummae-a1-nsb,3927.72,4.95,FEM
22,Elan,ummae-a1-nsb,3934.34,0.74,FEM
23,Elan,ummae-a1-nsb,3935.81,1.26,FEM
24,Elan,ummae-a1-nsb,3948.26,9.19,FEM
25,Elan,ummae-a1-nsb,4051.37,0.82,FEM
26,Elan,ummae-a1-nsb,4052.19,2.05,FEM
27,Elan,ummae-a1-nsb,4054.24,2.2,FEM
28,Elan,ummae-a1-nsb,4056.44,3.13,FEM
29,Elan,ummae-a1-nsb,4059.56,0.76,FEM
30,Elan,ummae-a1-nsb,4063.42,2.68,FEM
31,Elan,ummae-a1-nsb,4067.13,2.56,FEM
32,Elan,ummae-a1-nsb,4070.61,2.23,FEM
33,Elan,ummae-a1-nsb,4073.63,1.22,FEM
34,Elan,ummae-a1-nsb,4074.86,2.22,FEM
35,Elan,ummae-a1-nsb,4087.44,4.75,FEM
36,Elan,ummae-a1-nsb,4095.15,3.21,FEM
37,Elan,ummae-a1-nsb,4098.36,2.36,FEM
38,Elan,ummae-a1-nsb,4105.11,2.87,FEM
39,Elan,ummae-a1-nsb,4109.34,2.07,FEM
40,Elan,ummae-a1-nsb,4118.43,2.18,FEM
41,Elan,ummae-a1-nsb,4120.61,2.53,FEM
42,Elan,ummae-a1-nsb,4123.14,0.77,FEM
43,Elan,ummae-a1-nsb,4128.0,2.12,FEM
44,Elan,ummae-a1-nsb,4134.41,1.12,FEM
45,Elan,ummae-a1-nsb,4135.54,1.8,FEM
46,Elan,ummae-a1-nsb,4137.34,1.22,FEM
47,Elan,ummae-a1-nsb,4138.55,1.04,FEM
48,Elan,ummae-a1-nsb,4142.94,1.64,FEM
49,Elan,ummae-a1-nsb,4147.43,1.4,FEM
50,Elan,ummae-a1-nsb,4150.72,8.45,FEM
51,Elan,ummae-a1-nsb,4162.58,1.28,FEM
52,Elan,ummae-a1-nsb,4164.39,0.66,FEM
53,Elan,ummae-a1-nsb,4165.05,1.59,FEM
54,Elan,ummae-a1-nsb,4179.04,0.64,FEM
55,Elan,ummae-a1-nsb,4197.6,1.93,FEM
56,Elan,ummae-a1-nsb,4200.8,1.96,FEM
57,Elan,ummae-a1-nsb,4212.78,8.0,FEM
58,Elan,ummae-a1-nsb,4226.83,7.55,FEM
59,Elan,ummae-a1-nsb,4234.38,4.53,FEM
60,Elan,ummae-a1-nsb,4293.28,14.72,FEM
61,Elan,ummae-a1-nsb,4326.19,4.61,FEM
62,Elan,ummae-a1-nsb,4331.88,0.83,FEM
63,Elan,ummae-a1-nsb,4333.28,1.21,FEM
64,Elan,ummae-a1-nsb,4334.48,1.36,FEM
65,Elan,ummae-a1-nsb,4337.07,4.13,FEM
66,Elan,ummae-a1-nsb,4358.39,5.51,FEM
67,Elan,ummae-a1-nsb,4374.73,17.14,FEM
68,Elan,ummae-a1-nsb,4391.87,2.15,FEM
69,Elan,ummae-a1-nsb,4394.02,2.71,FEM
70,Elan,ummae-a1-nsb,4396.73,2.44,FEM
71,Elan,ummae-a1-nsb,4399.17,3.1,FEM
72,Elan,ummae-a1-nsb,4415.71,4.73,FEM
73,Elan,ummae-a1-nsb,4422.1,1.59,FEM
74,Elan,ummae-a1-nsb,4423.69,8.75,FEM
75,Elan,ummae-a1-nsb,4432.44,3.54,FEM
76,Elan,ummae-a1-nsb,4435.98,4.66,FEM
77,Elan,ummae-a1-nsb,4440.64,11.84,FEM
78,Elan,ummae-a1-nsb,4510.64,9.01,FEM
79,Elan,ummae-a1-nsb,4519.65,2.43,FEM
80,Elan,ummae-a1-nsb,4522.08,4.21,FEM
81,Elan,ummae-a1-nsb,4528.79,3.93,FEM
82,Elan,ummae-a1-nsb,4538.53,8.07,FEM
83,Elan,ummae-a1-nsb,4546.61,18.26,FEM
84,Elan,ummae-a1-nsb,4564.86,0.91,FEM
85,Elan,ummae-a1-nsb,4565.77,42.78,FEM
86,Elan,ummae-a1-nsb,4611.06,10.95,FEM
87,Elan,ummae-a1-nsb,4623.69,4.97,FEM
88,Elan,ummae-a1-nsb,4628.66,3.54,FEM
