ranking_ponderado,ranking_simple,diff_ranking,chico,corpus,ns_code,support_total,tiempo_total_segundos,tiempo_total_minutos,f1_ponderado_total,f1_promedio_total,f1_FEM,sup_FEM,f1_MAL,sup_MAL,f1_KCHI,sup_KCHI,f1_OCH,sup_OCH
1,2,1,verag,raw_ROS_HV,nsm,66585.0,665.85,11.0975,0.7691718360886035,0.5447460552457102,0.819250732671869,25981.0,0.562983366882085,10356.0,0.7967501214288868,30248.0,0.0,0.0
2,3,1,franciscop,raw_ROS_HV,nsm,69203.0,692.03,11.533833333333332,0.7505600971482717,0.5138932179859791,0.7442711101384938,29807.0,0.4834934215836629,5902.0,0.8278083402217599,32499.0,0.0,995.0
3,19,16,francescam,raw_ROS_HV,nsm,41817.0,418.17,6.9695,0.7291596751767466,0.3644711498383767,0.7352513153475876,30563.0,0.0,0.0,0.7226332840059193,11098.0,0.0,156.0
4,10,6,julietap,raw_ROS_HV,nsm,59454.0,594.54,9.908999999999999,0.6791012555738725,0.46061480422242806,0.6858251485388626,16830.0,0.3261974721328296,13017.0,0.83043659621802,29607.0,0.0,0.0
5,5,0,dantep,raw_ROS_HV,nsm,88111.0,881.11,14.685166666666667,0.6732774526710283,0.49210209754515905,0.7306237402324876,34593.0,0.6660578790947882,36584.0,0.5717267708533604,16934.0,0.0,0.0
6,16,10,ummaq,raw_ROS,nsb,77269.0,772.69,12.878166666666667,0.6143324530789356,0.39313292912195175,0.5072988281512775,37243.0,0.2986247544204322,4506.0,0.7666081339160974,35520.0,0.0,0.0
7,12,5,manuelc,raw_ROS,nsm,22610.0,226.1,3.768333333333333,0.6111218205386533,0.45905425583567505,0.6309815736005044,6821.0,0.0,0.0,0.6087949743003997,7798.0,0.5964404754417961,7991.0
8,14,6,dantec,raw_ROS,nsm,72694.0,726.94,12.115666666666668,0.5977006795800311,0.43893966461268086,0.5897526843581724,32933.0,0.485834277714819,15089.0,0.680171696377732,24547.0,0.0,125.0
9,1,-8,alma,raw_ROS,nsb,74387.0,743.87,12.397833333333333,0.5861136752333392,0.5678432941772654,0.6247378831367767,31750.0,0.464170659736322,14805.0,0.6426679564246067,18160.0,0.5397966774113563,9672.0
10,6,-4,dianag,raw_ROS_HV,nsb,97073.0,970.73,16.178833333333333,0.5673349698789253,0.47513129474805293,0.673354881405676,55918.0,0.2723144494900618,7963.0,0.5507553018747232,12539.0,0.4041005462217505,20653.0
11,8,-3,lucior,raw_ROS,nsm,118072.0,1180.72,19.67866666666667,0.5394105964319602,0.46653324931882384,0.6796505246520613,56504.0,0.3766336633663366,25886.0,0.5976055450535602,20665.0,0.2122432642033372,15017.0
12,4,-8,amparol,raw_ROS,nsb,132095.0,1320.95,22.015833333333333,0.5104261273190637,0.5021905949783733,0.5642818251116193,54121.0,0.4262166405023548,29596.0,0.5655172413793104,20998.0,0.4527466729202087,27380.0
13,18,5,bautistad,segunda-vuelta/random,nsb,69676.0,696.76,11.612666666666666,0.4928455520531783,0.3663243560075521,0.5833302458844306,28564.0,0.0,0.0,0.4935336207279676,16251.0,0.3884335574178101,24861.0
14,11,-3,gaell,raw_ROS,nsb,101619.0,1016.19,16.936500000000002,0.4894673623440248,0.4591033317005372,0.5269640230372236,39330.0,0.2724478777307085,17822.0,0.6259976972464532,27359.0,0.4110037287877635,17108.0
15,7,-8,lisandroh,raw_ROS,nsm,103441.0,1034.41,17.240166666666667,0.4693747568977084,0.4696791218153809,0.6142770623121665,38352.0,0.4097397656368893,16917.0,0.4950470529965329,5444.0,0.3596526063159349,42728.0
16,9,-7,angelinap,raw_ROS,nsm,58886.0,588.86,9.814333333333334,0.46096580814257976,0.4641169683820727,0.5734997361149917,26734.0,0.4450488145048814,9946.0,0.6274615229518112,6505.0,0.2104577999566066,15701.0
17,17,0,biancak,raw_ROS_HV,nsb,103292.0,1032.92,17.215333333333334,0.4551129810253985,0.3837674836257576,0.460028982007004,30626.0,0.3380252428193009,13803.0,0.233276740237691,5164.0,0.5037389694390344,53699.0
18,13,-5,lucasyoelp,raw_ROS_HV,nsb,54879.0,548.79,9.1465,0.4478809637206267,0.4443683873934964,0.4824788050060557,16979.0,0.3943649413757746,10645.0,0.6733803289694529,13439.0,0.2272494742227022,13816.0
19,20,1,valentinos,raw_ROS,nsb,54323.0,543.23,9.053833333333333,0.42803266470661305,0.35801088647883295,0.4161221542059289,26008.0,0.0302232621624256,1539.0,0.5888064486580562,9149.0,0.3968916808889212,17627.0
20,15,-5,valentina,segunda-vuelta/highVol,nsb,116171.0,1161.71,19.361833333333333,0.40571222639286253,0.41956558549878603,0.4044795161366536,18761.0,0.5369626742928267,22450.0,0.3863819013278144,33939.0,0.3504382502378494,41021.0
21,22,1,brandona,segunda-vuelta/highVol,nsb,69527.0,695.27,11.587833333333332,0.27624656621098026,0.20879199473150234,0.1803951376151842,24102.0,0.1312302839116719,4616.0,0.4209264652177577,31621.0,0.1026160921813955,9188.0
22,21,-1,camilop,raw_ROS_HV,nsb,52683.0,526.83,8.7805,0.26207955567727353,0.32073696371669125,0.1722941195549933,26794.0,0.3255213279143085,14839.0,0.532697807435653,5605.0,0.2524345999618102,5445.0
23,23,0,camilob,segunda-vuelta/random,nsm,57926.0,579.26,9.654333333333334,0.2437521198181172,0.11658549852083788,0.2911376235853153,40452.0,0.0247848537005163,2276.0,0.1504195167975199,15198.0,0.0,0.0
