File,Tier(s),Exclusive,Total,CDS,ADS,BOTH
0790,CHI,147087,181584,,,
0790,FA1,235683,263966,186062,67171,
0790,FA2,49796,59510,,53471,
0790,FC1,20837,32136,4760,11644,980
0790,MA1,116416,139044,109356,23028,830
0790,MA2,6173,9005,,4891,
0790,MC1,46385,62675,7361,45709,
0790,MC2,2649,2839,2649,,
0790,UC1,11711,13292,,,
0790,UC2,12668,16312,6040,,
0790,Totals,712550,780363,320679,216033,1810
1299,CHI,188940,273574,,,
1299,FA1,144433,187935,49585,107422,
1299,FA2,128945,181054,30578,112559,
1299,FA3,28681,46469,25471,14618,
1299,MA1,131411,178242,52053,104440,
1299,MC1,76332,127007,18484,69730,
1299,MC2,21774,33620,12238,5009,
1299,MC3,6583,14067,2680,,
1299,Totals,878028,1041968,193676,439650,
2534,CHI,185065,245505,,,
2534,FA1,199766,253387,86583,134369,2480
2534,FA2,51226,82855,10265,49264,7303
2534,MA1,80867,96474,55769,21775,902
2534,MA2,22498,33191,2257,18809,
2534,MA3,11000,21914,,11000,
2534,MC1,1250,1250,,,
2534,Totals,641353,734576,155061,259278,10685
3510,CHI,28328,54412,,,
3510,FA1,287656,381121,234146,110964,4920
3510,FA2,2117,2438,,1105,
3510,MA1,125310,169133,32575,92582,
3510,MC1,344197,427242,21726,96640,9860
3510,Totals,909464,1034346,298415,307882,14780
6026,CHI,144201,206685,,,
6026,FA1,362521,471819,297938,135894,523
6026,FA2,11201,16240,8078,1654,
6026,FA3,29564,68333,24774,6122,
6026,FA4,10057,22916,5489,1795,
6026,FA5,1782,2546,,,
6026,FA6,4041,6361,,4311,
6026,FA7,2347,2902,,759,
6026,FC1,8156,18855,,6104,
6026,MA1,147482,206718,50792,140656,
6026,MA2,14741,26711,9127,2511,
6026,MA3,7924,18800,1001,3260,
6026,MA4,1946,7491,,3513,
6026,MC1,69482,107390,1360,36306,857
6026,MC2,14772,25193,,3063,
6026,UC1,37400,81171,4038,18534,
6026,UC2,19949,37767,2109,2351,
6026,UC3,1102,1102,,,
6026,UC4,2341,5139,1150,,
6026,Totals,1105918,1334139,424090,385466,1380
7903,CHI,50096,65009,,,
7903,FA1,168463,192910,107176,60149,660
7903,FA2,66255,77835,16491,52433,1454
7903,FA3,1143,1143,,,
7903,FC1,147844,157014,7391,59452,10326
7903,MA1,240,520,,240,
7903,MA2,79538,98946,1425,84912,
7903,Totals,553237,593377,134710,273136,12440
8788,CHI,273946,355180,,,
8788,FA1,178137,272671,30472,232283,
8788,FA2,81077,101420,16396,67242,927
8788,MA1,34274,45064,1839,39995,
8788,UC1,31469,76287,26000,,1009
8788,UC2,3643,10190,10190,,
8788,Totals,729425,860812,84914,344172,2292
9051,CHI,59201,78006,,,
9051,FA1,58189,67708,65643,,
9051,FA2,490,490,,,
9051,MC1,68876,79901,5090,47445,
9051,UC1,1,440,,,
9051,Totals,206446,226545,70733,47445,
9426,CHI,71711,91485,,,
9426,FA1,157616,178870,157729,4637,
9426,FA2,33157,40723,20572,10127,
9426,FA3,24577,31390,12762,12117,
9426,FA4,1433,2911,,717,
9426,FA5,10701,12597,,3314,
9426,MA1,5568,7850,949,3043,
9426,MA2,6065,6124,,5035,
9426,MA3,418,1418,,418,
9426,MC1,160845,176297,37093,80579,
9426,UC1,9698,11505,,,
9426,Totals,521166,561170,231041,122470,
9909,CHI,116183,209935,,,
9909,FA1,131897,197828,50249,98260,8441
9909,FA2,167261,255785,35397,157698,1620
9909,FA3,41957,71211,961,32773,5221
9909,FA4,13544,21999,,2860,
9909,FA5,9623,11068,,8465,
9909,FA6,9641,13930,450,10790,
9909,FC1,71745,141070,33873,42278,
9909,FC2,9835,16487,11689,4798,
9909,MA1,98439,160060,26600,113870,663
9909,MA2,69729,109511,11486,80599,
9909,MA3,22893,37782,1743,24593,
9909,MC1,49281,68742,2460,22880,
9909,MC2,28816,52106,5085,20992,
9909,UC1,4878,6665,,2785,
9909,Totals,1102541,1374179,181784,664387,15945
*,Grand Totals,7360128,8541475,2095103,3059919,59332
