File,Tier(s),Exclusive,Total,CDS,ADS,BOTH
0873,CHI,117935,169368,,,
0873,FA1,227687,280558,247694,19292,603
0873,FA2,23106,69167,13845,14878,8239
0873,MA1,105474,155148,86610,19291,1109
0873,MA2,35224,80803,2669,41166,
0873,MA3,34514,80776,11522,39105,
0873,MA4,63912,109543,,85948,
0873,Totals,770747,945363,363638,299141,9951
1092 ,CHI,248934,296097,,,
1092 ,FA1,18813,29491,5780,14613,
1092 ,FA2,38981,47251,12773,24732,2238
1092 ,FA3,76104,99035,68992,20045,
1092 ,MA1,101518,130148,44424,52339,
1092 ,Totals,543186,602022,133280,122091,2238
2280,CHI,103830,110957,,,
2280,FA1,205606,215042,170744,29560,2011
2280,FA2,88072,92261,3340,76325,1940
2280,FA3,1600,1600,,,
2280,MC1,1560,1560,,1560,
2280,Totals,411044,421420,174084,109954,3951
5293,CHI,113352,134413,,,
5293,FA1,135197,153993,95162,41832,
5293,FA2,9198,11773,6288,,
5293,FA3,136,136,,136,
5293,FA4,581,597,597,,
5293,FA5,2862,3285,1056,,
5293,FC1,22707,22756,778,3723,
5293,MA1,83106,102755,39667,19247,6594
5293,MA2,1128,3444,,2266,1173
5293,MA3,1665,1665,,1665,
5293,MC1,66272,78452,38985,10658,837
5293,MC2,25526,37644,8538,15351,
5293,MC3,2121,2121,750,,
5293,Totals,507845,553034,196008,95394,8604
5456,CHI,301745,325083,,,
5456,FA1,155195,170691,153077,13907,1942
5456,FA2,9849,11465,6627,2196,
5456,FA3,579,748,,,
5456,FA4,110115,116850,114250,,
5456,MA1,408,408,,,
5456,MA2,54733,58627,53807,4820,
5456,MC1,1695,1695,1316,,
5456,MC2,7747,8243,,,1876
5456,Totals,667938,693810,329077,22370,3818
8340,CHI,105885,125446,,,
8340,F10,4024,4983,,4391,
8340,F11,684,684,684,,
8340,FA1,155356,180449,40166,106762,2522
8340,FA2,54953,79100,14516,37883,1111
8340,FA3,26914,41018,10482,16337,
8340,FA4,1678,2651,,,
8340,FA5,146124,175503,45156,67918,17542
8340,FA6,7425,11849,4492,2198,
8340,FA7,37159,47554,6862,23799,6553
8340,FA8,11828,13410,908,10373,
8340,FA9,28203,40450,12181,26444,
8340,FC1,4734,5982,,2570,
8340,FC2,5946,7329,,4067,
8340,FC3,41040,51533,7748,7716,
8340,MA1,5576,8664,,277,
8340,MA2,9671,12369,1878,7879,
8340,MA3,13552,20131,2209,2861,
8340,MA4,28883,38478,22650,6213,3140
8340,MC1,4350,6541,,280,
8340,MC2,109815,131973,27439,18665,
8340,MC3,4155,4155,,3318,
8340,MC5,673,673,,673,
8340,Totals,908464,1010925,202150,375726,32909
8569,CHI,30876,51609,,,
8569,FA1,147846,210049,82167,49943,1313
8569,FA2,13164,16211,,7292,
8569,FA3,60,843,,60,
8569,FA4,17934,24308,599,20799,
8569,FA5,6353,6353,4773,1580,
8569,FA6,1407,1407,1407,,
8569,FA7,31584,51604,9481,34434,
8569,FC1,3831,5482,,,
8569,MA1,68040,134060,15136,94102,
8569,MA2,847,6559,,2847,
8569,MC1,238487,311309,95659,83782,292
8569,MC2,121374,194945,110223,31360,2774
8569,MC3,24157,39167,19617,10400,411
8569,MC4,3495,6045,3840,567,
8569,UC1,51326,99395,,,
8569,Totals,955304,1159346,360921,347278,4790
9378,CHI,43707,56027,,,
9378,FA1,200948,221411,13694,181205,919
9378,FA2,40340,46610,14670,26759,
9378,FC1,32577,36875,6273,10310,
9378,FC2,9349,12218,,,
9378,MA1,124628,146792,23958,100380,531
9378,MA2,1285,1575,,668,
9378,MC1,6790,6790,,4446,
9378,UC1,610,610,,,
9378,Totals,494179,528908,60203,326793,1450
9959,CHI,264775,302538,,,
9959,FA1,228115,259850,239834,15309,
9959,MA1,87997,103537,67135,32885,562
9959,Totals,623291,665925,308368,48566,562
*,Grand Totals,5881998,6580753,2127729,1747313,68273
