tier,begin_time,end_time,annotation
code,2820000,2940000,"cantHabla: 240.90800000000004" 
code_num,2820000,2940000,0
on_off,2820000,2940000,2820000_2940000
note,2820000,2940000,"HighVolSampling para VS"
code,3780000,3900000,"cantHabla: 237.44399999999996" 
code_num,3780000,3900000,1
on_off,3780000,3900000,3780000_3900000
note,3780000,3900000,"HighVolSampling para VS"
code,3150000,3270000,"cantHabla: 229.49900000000002" 
code_num,3150000,3270000,2
on_off,3150000,3270000,3150000_3270000
note,3150000,3270000,"HighVolSampling para VS"
code,3900000,4020000,"cantHabla: 222.226" 
code_num,3900000,4020000,3
on_off,3900000,4020000,3900000_4020000
note,3900000,4020000,"HighVolSampling para VS"
code,11820000,11940000,"cantHabla: 221.876" 
code_num,11820000,11940000,4
on_off,11820000,11940000,11820000_11940000
note,11820000,11940000,"HighVolSampling para VS"
code,9600000,9720000,"cantHabla: 220.70600000000002" 
code_num,9600000,9720000,5
on_off,9600000,9720000,9600000_9720000
note,9600000,9720000,"HighVolSampling para VS"
code,10350000,10470000,"cantHabla: 212.13" 
code_num,10350000,10470000,6
on_off,10350000,10470000,10350000_10470000
note,10350000,10470000,"HighVolSampling para VS"
code,10830000,10950000,"cantHabla: 210.976" 
code_num,10830000,10950000,7
on_off,10830000,10950000,10830000_10950000
note,10830000,10950000,"HighVolSampling para VS"
code,8310000,8430000,"cantHabla: 209.232" 
code_num,8310000,8430000,8
on_off,8310000,8430000,8310000_8430000
note,8310000,8430000,"HighVolSampling para VS"
code,7860000,7980000,"cantHabla: 207.414" 
code_num,7860000,7980000,9
on_off,7860000,7980000,7860000_7980000
note,7860000,7980000,"HighVolSampling para VS"
code,11250000,11370000,"cantHabla: 206.85500000000005" 
code_num,11250000,11370000,10
on_off,11250000,11370000,11250000_11370000
note,11250000,11370000,"HighVolSampling para VS"
code,10560000,10680000,"cantHabla: 201.226" 
code_num,10560000,10680000,11
on_off,10560000,10680000,10560000_10680000
note,10560000,10680000,"HighVolSampling para VS"
code,4200000,4320000,"cantHabla: 200.489" 
code_num,4200000,4320000,12
on_off,4200000,4320000,4200000_4320000
note,4200000,4320000,"HighVolSampling para VS"
code,9840000,9960000,"cantHabla: 199.86200000000002" 
code_num,9840000,9960000,13
on_off,9840000,9960000,9840000_9960000
note,9840000,9960000,"HighVolSampling para VS"
code,4020000,4140000,"cantHabla: 198.78" 
code_num,4020000,4140000,14
on_off,4020000,4140000,4020000_4140000
note,4020000,4140000,"HighVolSampling para VS"
code,10950000,11070000,"cantHabla: 198.295" 
code_num,10950000,11070000,15
on_off,10950000,11070000,10950000_11070000
note,10950000,11070000,"HighVolSampling para VS"
code,3330000,3450000,"cantHabla: 194.598" 
code_num,3330000,3450000,16
on_off,3330000,3450000,3330000_3450000
note,3330000,3450000,"HighVolSampling para VS"
code,8610000,8730000,"cantHabla: 193.89399999999998" 
code_num,8610000,8730000,17
on_off,8610000,8730000,8610000_8730000
note,8610000,8730000,"HighVolSampling para VS"
code,1980000,2100000,"cantHabla: 193.579" 
code_num,1980000,2100000,18
on_off,1980000,2100000,1980000_2100000
note,1980000,2100000,"HighVolSampling para VS"
code,6660000,6780000,"cantHabla: 191.98499999999999" 
code_num,6660000,6780000,19
on_off,6660000,6780000,6660000_6780000
note,6660000,6780000,"HighVolSampling para VS"
code,9300000,9420000,"cantHabla: 188.31199999999998" 
code_num,9300000,9420000,20
on_off,9300000,9420000,9300000_9420000
note,9300000,9420000,"HighVolSampling para VS"
code,7590000,7710000,"cantHabla: 187.74300000000002" 
code_num,7590000,7710000,21
on_off,7590000,7710000,7590000_7710000
note,7590000,7710000,"HighVolSampling para VS"
code,10680000,10800000,"cantHabla: 186.949" 
code_num,10680000,10800000,22
on_off,10680000,10800000,10680000_10800000
note,10680000,10800000,"HighVolSampling para VS"
code,6360000,6480000,"cantHabla: 181.785" 
code_num,6360000,6480000,23
on_off,6360000,6480000,6360000_6480000
note,6360000,6480000,"HighVolSampling para VS"
code,2490000,2610000,"cantHabla: 180.68699999999998" 
code_num,2490000,2610000,24
on_off,2490000,2610000,2490000_2610000
note,2490000,2610000,"HighVolSampling para VS"
code,720000,840000,"cantHabla: 179.44" 
code_num,720000,840000,25
on_off,720000,840000,720000_840000
note,720000,840000,"HighVolSampling para VS"
code,4410000,4530000,"cantHabla: 178.86800000000002" 
code_num,4410000,4530000,26
